period,interest_rate_pct,source_code
2015-01,1.89,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-02,1.95,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-03,1.96,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-04,1.93,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-05,1.81,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-06,1.83,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-07,1.68,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-08,1.8,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-09,1.93,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-10,1.89,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-11,1.95,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2015-12,1.92,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-01,1.89,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-02,1.89,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-03,1.96,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-04,1.99,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-05,1.92,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-06,1.97,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-07,1.97,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-08,2.0,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-09,1.96,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-10,2.02,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-11,1.93,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2016-12,1.93,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-01,1.94,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-02,1.94,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-03,2.01,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-04,2.05,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-05,2.05,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-06,2.01,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2017-07,2.02,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
